Nom,Telefon,Direccio,Districte,Barri,Ciutat,Codi Postal,Regio,Pais,Lat,Lon,Web,Mail
Bar Restaurant Habana Barcelona,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08039,BARCELONA,ESPANYA,41.37539852222222,2.18853675,http://www.habanabarcelona.com,mailto:habanabarcelona@habanabarcelona.com
 Fresh,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08006,BARCELONA,ESPANYA,41.39700243055555,2.1522896666666664,-----,-----
Bar Pinocho,-,-----,Ciutat Vella,el Raval,BARCELONA,08002,BARCELONA,ESPANYA,41.38267368611111,2.171678722222222,-----,-----
Col·legi d'Arquitectes de Catalunya,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38444698611111,2.175041361111111,-----,-----
Bar Glüh,-,-----,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",BARCELONA,08003,BARCELONA,ESPANYA,41.38692916666667,2.1761466388888886,-----,-----
Bar Mandarina,-,-----,Eixample,l'Antiga Esquerra de l'Eixample,BARCELONA,08011,BARCELONA,ESPANYA,41.38415379722222,2.158560222222222,-----,-----
Bar Restaurant El Último Agave,-,-----,Eixample,l'Antiga Esquerra de l'Eixample,BARCELONA,08011,BARCELONA,ESPANYA,41.38786373055556,2.1588890277777777,http://www.elultimoagave.com,mailto:elultimoagave@elultimoagave.com
Restaurant Candela Raval,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.38072328888889,2.1711486944444442,http://www.candelaraval.com,mailto:info@candelaraval.com
Hotel Claris,-,-----,Eixample,la Dreta de l'Eixample,BARCELONA,08009,BARCELONA,ESPANYA,41.39445991388889,2.165013194444444,http://www.derbyhotels.es,mailto:east47.bcn@derbyhotels.es
Restaurant Japonès Misaki,-,-----,Eixample,l'Antiga Esquerra de l'Eixample,BARCELONA,08011,BARCELONA,ESPANYA,41.38759699444444,2.1605608333333333,-----,-----
Restaurant La Locanda,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38595585,2.1755125555555552,http://www.restaurantelalocanda.com,-----
Gran Hotel Havana Barcelona,-,-----,Eixample,la Dreta de l'Eixample,BARCELONA,08010,BARCELONA,ESPANYA,41.39270169444445,2.1721956944444445,http://www.grandhotelhavana.com,-----
Restaurant Fresc Co *Av Diagonal/Muntaner,-,-----,Eixample,l'Antiga Esquerra de l'Eixample,BARCELONA,08036,BARCELONA,ESPANYA,41.39360134166667,2.1489241666666667,http://www.frescco.com,mailto:frescco@frescco.com
Restaurant Xinès Hecheng,-,-----,Eixample,Sant Antoni,BARCELONA,08015,BARCELONA,ESPANYA,41.375703025,2.155971611111111,-----,-----
Restaurant Eterna,-,-----,Eixample,la Nova Esquerra de l'Eixample,BARCELONA,08015,BARCELONA,ESPANYA,41.38174175555556,2.1528230833333333,http://www.restauranteeterna.com,mailto:info@restauranteeterna.com
Restaurant Kailash,-,-----,Sant Martí,el Camp de l'Arpa del Clot,BARCELONA,08026,BARCELONA,ESPANYA,41.41133651944444,2.1804401388888888,-----,mailto:tibkailash@hotmail.com
Free Girls,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08006,BARCELONA,ESPANYA,41.39936953055555,2.151432388888889,-----,-----
Bulería Café-bar,-,-----,Eixample,l'Antiga Esquerra de l'Eixample,BARCELONA,08011,BARCELONA,ESPANYA,41.38879096944444,2.158984611111111,-----,-----
Restaurant Can Cargol,-,-----,Eixample,la Dreta de l'Eixample,BARCELONA,08009,BARCELONA,ESPANYA,41.39548459444445,2.167451972222222,-----,-----
Restaurant Hisop,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39445760833333,2.1480123333333334,http://www.hisop.com,mailto:hisop@hisop.com
